name,software,wall_time,basis,level_of_theory,energy,nbasis
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/hf/def2tzvpp/ala0.xyz.0006fad2-d9a2-11ef-abea-d85ed34e2189.out,orca,7203.785,def2tzvpp,hf,-25332.414243346644,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/def2tzvpp/ala0.xyz.00071d96-d9a2-11ef-abea-d85ed34e2189.out,gaussian,7146.7,def2tzvpp,hf,-25332.41333726909,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/r2scan-3c/def2tzvpp/ala0.xyz.0007ac8e-d9a2-11ef-abea-d85ed34e2189.out,orca,382.663,def2tzvpp,r2scan-3c,-25472.581016392163,511
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/b973c/def2tzvpp/ala0.xyz.0007fc16-d9a2-11ef-abea-d85ed34e2189.out,orca,326.673,def2tzvpp,b973c,-25466.43332485822,450
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/rimp2/def2tzvpp/ala0.xyz.000897de-d9a2-11ef-abea-d85ed34e2189.out,orca,6897.86,def2tzvpp,rimp2,-25430.448510151815,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/pbe0/def2tzvpp/ala0.xyz.0008fb20-d9a2-11ef-abea-d85ed34e2189.out,orca,1249.715,def2tzvpp,pbe0,-25458.74668432995,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/def2tzvpp/ala0.xyz.00091344-d9a2-11ef-abea-d85ed34e2189.out,gaussian,8356.5,def2tzvpp,pbe0,-25458.7129315532,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/PBEh-3c/def2tzvpp/ala0.xyz.0009444a-d9a2-11ef-abea-d85ed34e2189.out,orca,579.204,def2tzvpp,PBEh-3c,-25422.929483900924,331
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/wb97xv/def2tzvpp/ala0.xyz.000991a2-d9a2-11ef-abea-d85ed34e2189.out,orca,1843.665,def2tzvpp,wb97xv,-25480.572925342574,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/wb97xd3/def2tzvpp/ala0.xyz.0009ddb0-d9a2-11ef-abea-d85ed34e2189.out,orca,1812.7,def2tzvpp,wb97xd3,-25481.277244816447,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/wb97xd3bj/def2tzvpp/ala0.xyz.000a28e2-d9a2-11ef-abea-d85ed34e2189.out,orca,1792.063,def2tzvpp,wb97xd3bj,-25497.762305701686,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/m062x/def2tzvpp/ala0.xyz.000a7676-d9a2-11ef-abea-d85ed34e2189.out,orca,1293.948,def2tzvpp,m062x,-25476.973567786663,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/def2tzvpp/ala0.xyz.000a8e5e-d9a2-11ef-abea-d85ed34e2189.out,gaussian,9079.3,def2tzvpp,m062x,-25476.92521085415,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/camb3lyp/def2tzvpp/ala0.xyz.000ac0e0-d9a2-11ef-abea-d85ed34e2189.out,orca,1785.096,def2tzvpp,camb3lyp,-25476.113281822225,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/def2tzvpp/ala0.xyz.000ad8a0-d9a2-11ef-abea-d85ed34e2189.out,gaussian,10588.3,def2tzvpp,camb3lyp,-25476.0870604932,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/dlpnoccsdt/def2tzvpp/ala0.xyz.000ba3b6-d9a2-11ef-abea-d85ed34e2189.out,orca,149506.294,def2tzvpp,dlpnoccsdt,-25437.030938489843,911
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/hf/def2svp/ala0.xyz.000beccc-d9a2-11ef-abea-d85ed34e2189.out,orca,541.836,def2svp,hf,-25303.492759539506,381
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/def2svp/ala0.xyz.000c03ec-d9a2-11ef-abea-d85ed34e2189.out,gaussian,346.6,def2svp,hf,-25303.491854984168,381
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/r2scan-3c/def2svp/ala0.xyz.000c7b1a-d9a2-11ef-abea-d85ed34e2189.out,orca,382.503,def2svp,r2scan-3c,-25472.581016392163,511
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/orca/ala0.xyz/b973c/def2svp/ala0.xyz.000cc43a-d9a2-11ef-abea-d85ed34e2189.out,orca,329.78,def2svp,b973c,-25466.43332485822,450
