name,software,wall_time,basis,level_of_theory,energy
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/def2tzvpp/ala0.xyz.00071d96-d9a2-11ef-abea-d85ed34e2189.out,gaussian,7146.7,def2tzvpp,hf,-25332.41333726909
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/def2tzvpp/ala0.xyz.00091344-d9a2-11ef-abea-d85ed34e2189.out,gaussian,8356.5,def2tzvpp,pbe0,-25458.7129315532
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/def2tzvpp/ala0.xyz.000a8e5e-d9a2-11ef-abea-d85ed34e2189.out,gaussian,9079.3,def2tzvpp,m062x,-25476.92521085415
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/def2tzvpp/ala0.xyz.000ad8a0-d9a2-11ef-abea-d85ed34e2189.out,gaussian,10588.3,def2tzvpp,camb3lyp,-25476.0870604932
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/def2svp/ala0.xyz.000c03ec-d9a2-11ef-abea-d85ed34e2189.out,gaussian,346.6,def2svp,hf,-25303.491854984168
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/mp2/def2svp/ala0.xyz.000d263c-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2396.9,def2svp,mp2,-25382.873759321308
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/def2svp/ala0.xyz.000db58e-d9a2-11ef-abea-d85ed34e2189.out,gaussian,752.3,def2svp,pbe0,-25430.3982669917
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/def2svp/ala0.xyz.000f18fc-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1154.5,def2svp,m062x,-25447.293037832478
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/def2svp/ala0.xyz.000f5fc4-d9a2-11ef-abea-d85ed34e2189.out,gaussian,909.2,def2svp,camb3lyp,-25446.850801014938
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/b2plyp/def2svp/ala0.xyz.000fa632-d9a2-11ef-abea-d85ed34e2189.out,gaussian,3120.1,def2svp,b2plyp,-25406.254484672067
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/ccpvdz/ala0.xyz.0014f2f4-d9a2-11ef-abea-d85ed34e2189.out,gaussian,480.2,ccpvdz,hf,-25324.356277779094
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/mp2/ccpvdz/ala0.xyz.0016188c-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2630.6,ccpvdz,mp2,-25403.94263361479
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/ccpvdz/ala0.xyz.0016aaea-d9a2-11ef-abea-d85ed34e2189.out,gaussian,961.6,ccpvdz,pbe0,-25450.44150975154
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/ccpvdz/ala0.xyz.00181772-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1389.2,ccpvdz,m062x,-25468.63887775771
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/ccpvdz/ala0.xyz.00185eb2-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1305.6,ccpvdz,camb3lyp,-25466.593588259926
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/b2plyp/ccpvdz/ala0.xyz.0018a976-d9a2-11ef-abea-d85ed34e2189.out,gaussian,3668.2,ccpvdz,b2plyp,-25426.541291940764
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/631+gd/ala0.xyz.0022f28c-d9a2-11ef-abea-d85ed34e2189.out,gaussian,560.7,631+gd,hf,-25322.660853059046
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/mp2/631+gd/ala0.xyz.002410ea-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2918.1,631+gd,mp2,-25399.533511945177
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/631+gd/ala0.xyz.00249bb4-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1626.6,631+gd,pbe0,-25449.336836282415
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/631+gd/ala0.xyz.0025f914-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2184.0,631+gd,m062x,-25466.86936171518
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/631+gd/ala0.xyz.00263c9e-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1636.2,631+gd,camb3lyp,-25466.155690597057
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/b2plyp/631+gd/ala0.xyz.00268230-d9a2-11ef-abea-d85ed34e2189.out,gaussian,4392.6,631+gd,b2plyp,-25425.492623801474
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/631+gdp/ala0.xyz.002753b8-d9a2-11ef-abea-d85ed34e2189.out,gaussian,822.0,631+gdp,hf,-25324.0437994852
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/mp2/631+gdp/ala0.xyz.0028734c-d9a2-11ef-abea-d85ed34e2189.out,gaussian,3371.0,631+gdp,mp2,-25404.72798000577
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/631+gdp/ala0.xyz.0028fe3e-d9a2-11ef-abea-d85ed34e2189.out,gaussian,1916.1,631+gdp,pbe0,-25450.54374485718
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/631+gdp/ala0.xyz.002a5b3a-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2489.0,631+gdp,m062x,-25467.903999582704
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/631+gdp/ala0.xyz.002a9e10-d9a2-11ef-abea-d85ed34e2189.out,gaussian,2098.5,631+gdp,camb3lyp,-25467.358994506856
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/b2plyp/631+gdp/ala0.xyz.002ae456-d9a2-11ef-abea-d85ed34e2189.out,gaussian,5007.3,631+gdp,b2plyp,-25426.77686049297
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/hf/6311++g2d2p/ala0.xyz.002bb5c0-d9a2-11ef-abea-d85ed34e2189.out,gaussian,4825.7,6311++g2d2p,hf,-25330.23824981837
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/mp2/6311++g2d2p/ala0.xyz.002d114a-d9a2-11ef-abea-d85ed34e2189.out,gaussian,14496.9,6311++g2d2p,mp2,-25420.402056297025
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/pbe0/6311++g2d2p/ala0.xyz.002d9f48-d9a2-11ef-abea-d85ed34e2189.out,gaussian,7609.6,6311++g2d2p,pbe0,-25456.6994202728
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/m062x/6311++g2d2p/ala0.xyz.002f00e0-d9a2-11ef-abea-d85ed34e2189.out,gaussian,7337.8,6311++g2d2p,m062x,-25475.044291999875
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/camb3lyp/6311++g2d2p/ala0.xyz.002f45fa-d9a2-11ef-abea-d85ed34e2189.out,gaussian,7566.3,6311++g2d2p,camb3lyp,-25474.061901161735
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/benchmark/gaussian/ala0.xyz/b2plyp/6311++g2d2p/ala0.xyz.002f8b82-d9a2-11ef-abea-d85ed34e2189.out,gaussian,19182.6,6311++g2d2p,b2plyp,-25433.065681079584
